subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
Russ House,1830,"Farmington Falls, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6198327137232,-70.084412271038,"<b>Russ House</b><br>Farmington Falls, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQqoq1_4UdVpcXhx7vjzqCgPojkob3QS8eDrhIiPEQuoJpHU-RNpvc5wXi-Iqm8QDCCqdlgWMx5gKu0/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQqoq1_4UdVpcXhx7vjzqCgPojkob3QS8eDrhIiPEQuoJpHU-RNpvc5wXi-Iqm8QDCCqdlgWMx5gKu0/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.6198327137232, -70.084412271038)"
Artemas Hemenway Tavern,1830,"Pepperell, MA",Porter School,mural,Lefko,school,school,42.670093635586,-71.5820099387838,"<b>Artemas Hemenway Tavern</b><br>Pepperell, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQwsSsef__jRnH7wttRrk5R3ARzSfdgdcHx4rA4aYEsmvhN-TtTlDkXa7uYaNLplbQvenkQ3cws0lKp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQwsSsef__jRnH7wttRrk5R3ARzSfdgdcHx4rA4aYEsmvhN-TtTlDkXa7uYaNLplbQvenkQ3cws0lKp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.670093635586, -71.5820099387838)"
William McCleary House,1835,"Strong, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.8043980064982,-70.2073916753618,"<b>William McCleary House</b><br>Strong, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQXExVVL0CCfNq81bDBvgGUTfsAtdkRD9qA2sNLoVCk-dXfCv4SDci-mxy_swgflFD0UlcvfcNnFA1c/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQXExVVL0CCfNq81bDBvgGUTfsAtdkRD9qA2sNLoVCk-dXfCv4SDci-mxy_swgflFD0UlcvfcNnFA1c/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.8043980064982, -70.2073916753618)"
Edmund Parker House,1830,"Winchester, MA",Porter School,mural,Lefko,school,school,42.4532442697923,-71.1423905297473,"<b>Edmund Parker House</b><br>Winchester, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQyO3gzvfzoVFjHlZvMd_KIGrCEhyKdfABjrN5uDReM_VEvyYkE3V5BWNhS-vGgdivNqkd39dx-hnKF/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQyO3gzvfzoVFjHlZvMd_KIGrCEhyKdfABjrN5uDReM_VEvyYkE3V5BWNhS-vGgdivNqkd39dx-hnKF/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.4532442697923, -71.1423905297473)"
Asher Tarbell House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7410506228249,-71.7769234245919,"<b>Asher Tarbell House</b><br>Mason, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vR6p7s0SSVr5tokcG0ZLooR6bSWXo2iHHPl2L9lm0hBaGsvM2WRDRfXJWD3aNuChOA5JOlrCkBdvKcN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vR6p7s0SSVr5tokcG0ZLooR6bSWXo2iHHPl2L9lm0hBaGsvM2WRDRfXJWD3aNuChOA5JOlrCkBdvKcN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.7410506228249, -71.7769234245919)"
Benjamin Stanley House,1835,"Farmington, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.6726111923792,-70.1622673236487,"<b>Benjamin Stanley House</b><br>Farmington, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRaJdKCx0ImfFiqm_Atm_kZ3tpxuLsFldbwJFMPxW3WgaaUzchhrmk9Uydk0EmCort69v7G6zzkffig/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRaJdKCx0ImfFiqm_Atm_kZ3tpxuLsFldbwJFMPxW3WgaaUzchhrmk9Uydk0EmCort69v7G6zzkffig/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.6726111923792, -70.1622673236487)"
Solomon Russell House,1825,"New Ipswich, NH",Porter School,mural,Lipman,school,school,42.73404229986,-71.8851054213512,"<b>Solomon Russell House</b><br>New Ipswich, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRc-0EN6RgMgYnTTwBQ5qOcKfgHyyoA_WAXpnkNfSM8-h9Ylep9VQOjW88zKP3eTIyG1NxFpOA55OBj/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRc-0EN6RgMgYnTTwBQ5qOcKfgHyyoA_WAXpnkNfSM8-h9Ylep9VQOjW88zKP3eTIyG1NxFpOA55OBj/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.73404229986, -71.8851054213512)"
Hinckley House,1824,"Orford, NH",Porter School,mural,Lipman,school,school,43.9015243084389,-72.1411030540773,"<b>Hinckley House</b><br>Orford, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRNwG3yBX6AYtyeA0n-auyfq9vjVuZWxc8_bQeBISWZuOyDwNv3IHmJXgEdiy9TZpqbcy-9sILksaPD/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRNwG3yBX6AYtyeA0n-auyfq9vjVuZWxc8_bQeBISWZuOyDwNv3IHmJXgEdiy9TZpqbcy-9sILksaPD/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.9015243084389, -72.1411030540773)"
Adams Female Academy,1822,"Derry, NH",Porter School,mural,Lefko,school,school,42.8777161576397,-71.3277827408118,"<b>Adams Female Academy</b><br>Derry, NH, circa 1822<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRqump5_BJvQbgQ2ObhpNVRdpECMLzdgxj-OC98YvyFFrLbFeudu3xjeFUwo-_yAi35G1xdDNyezRQ4/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRqump5_BJvQbgQ2ObhpNVRdpECMLzdgxj-OC98YvyFFrLbFeudu3xjeFUwo-_yAi35G1xdDNyezRQ4/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.8777161576397, -71.3277827408118)"
Barker House,1835,"North Leeds, ME",Porter School,mural,Lefko,school,school,44.3442951659625,-70.1199168522052,"<b>Barker House</b><br>North Leeds, ME, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRrbA5PGqz3UB3TmGcf4Pvz82a26LO9Wy5jtCgSn0JmDS51d-ADNBmTCTGXjCXec1FE89HcCfiVh8IB/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRrbA5PGqz3UB3TmGcf4Pvz82a26LO9Wy5jtCgSn0JmDS51d-ADNBmTCTGXjCXec1FE89HcCfiVh8IB/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.3442951659625, -70.1199168522052)"
Dyer/Currier House,1830,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6726358417188,-70.1599601133068,"<b>Dyer/Currier House</b><br>Farmington, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRwzbRw-1fqWCb5qUEnt0vg0TYndXPdFxr6RzzGw9CNian-_XlJDwCyjF9nJeTNs7R-9I0B2IIMviiN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRwzbRw-1fqWCb5qUEnt0vg0TYndXPdFxr6RzzGw9CNian-_XlJDwCyjF9nJeTNs7R-9I0B2IIMviiN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.6726358417188, -70.1599601133068)"
Deacon Libby House,1830,"Bridgton, ME",Porter School,mural,Lipman,school,school,44.0516594128416,-70.707183351934,"<b>Deacon Libby House</b><br>Bridgton, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.0516594128416, -70.707183351934)"
Dutton House,1830,"Bedford, MA",Porter School,mural,Lipman,school,school,42.4888713729191,-71.2770584737785,"<b>Dutton House</b><br>Bedford, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vS1m6f-aZ2T4fXtLUi3nTw9l1C9cOApXSZSjQAJj38tfgKoIBZG6RZ0n8cClRPanDjL2mzrdfhk3-cp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.4888713729191, -71.2770584737785)"
Brewster House,1825,"Ossipee, NH",Porter School,mural,Lefko,school,school,43.6870329557127,-71.107021809227,"<b>Brewster House</b><br>Ossipee, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS8berzdVsYkKJE_ev-ORrLtt1Zjd8YdEJ5pPdNM-481EguTB10_ywOCVhotBI8W3KsJYeugSedcZJE/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vS8berzdVsYkKJE_ev-ORrLtt1Zjd8YdEJ5pPdNM-481EguTB10_ywOCVhotBI8W3KsJYeugSedcZJE/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.6870329557127, -71.107021809227)"
Roswell Warner House,1830,"Sturbridge, MA",Porter School,mural,Lefko,school,school,42.1123557888844,-72.0831162010883,"<b>Roswell Warner House</b><br>Sturbridge, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSA-dtMWzKP0-pvWmqHOBG--IxgJJFk_QpzBK3ViT-uLJAjoAcJSdgJZGFsx06JUhMsi9w8QZLpUlAw/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSA-dtMWzKP0-pvWmqHOBG--IxgJJFk_QpzBK3ViT-uLJAjoAcJSdgJZGFsx06JUhMsi9w8QZLpUlAw/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.1123557888844, -72.0831162010883)"
Savery Homestead,1830,"Groveland, MA",Porter School,mural,Lipman,school,school,42.7569523396249,-71.0444825808311,"<b>Savery Homestead</b><br>Groveland, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.7569523396249, -71.0444825808311)"
Harvard Inn,1830,"Harvard, MA",Porter School,mural,Lipman,school,school,42.4991956860036,-71.583436107526,"<b>Harvard Inn</b><br>Harvard, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSG5S0QyIcm14uJtE2h1PmKAL3kPKzaegRFzaesFvXMHadjmD-7FXul34ADkD5-rzqzQsLcNyAg3aga/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSG5S0QyIcm14uJtE2h1PmKAL3kPKzaegRFzaesFvXMHadjmD-7FXul34ADkD5-rzqzQsLcNyAg3aga/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.4991956860036, -71.583436107526)"
Tobias Ricker House,1835,"Buckfield, ME",Porter School,mural,Lefko,school,school,44.2870193940113,-70.3530056361849,"<b>Tobias Ricker House</b><br>Buckfield, ME, circa 1835<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSJcaaYu1qPqLXUloWig7-alVRkRuPhV4PGufLD8Ferg3aAmHjv4yGW4gFF0_Sx9LsWbv5cs01f1Riq/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSJcaaYu1qPqLXUloWig7-alVRkRuPhV4PGufLD8Ferg3aAmHjv4yGW4gFF0_Sx9LsWbv5cs01f1Riq/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.2870193940113, -70.3530056361849)"
Hackett House,1810,"Thornton, NH",Bears and Pears Artist,mural,Lefko,other,other,43.8913883354388,-71.6683790532254,"<b>Hackett House</b><br>Thornton, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSk0q1Vt0CHoudIptgqSSfTS6YcY6UZvyoVDWGLcCd_vRR9s83FMf4iaSpbXlzfC82pcgnBzUaDohzu/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSk0q1Vt0CHoudIptgqSSfTS6YcY6UZvyoVDWGLcCd_vRR9s83FMf4iaSpbXlzfC82pcgnBzUaDohzu/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.8913883354388, -71.6683790532254)"
Reuben Guild House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,Lipman,rp_mural,rp,42.2126090156839,-71.2269405737708,"<b>Reuben Guild House</b><br>Westwood, MA, circa 1838<br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSlA6r3gCs1QlN7BavAL9bGfwfP2BgJDhwY9O7aRMY3ogfU1hkLR6XpuHOVrUtjoT5pUYEQ7HTeQ3wq/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSlA6r3gCs1QlN7BavAL9bGfwfP2BgJDhwY9O7aRMY3ogfU1hkLR6XpuHOVrUtjoT5pUYEQ7HTeQ3wq/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.2126090156839, -71.2269405737708)"
Littleton Inn,1810,"Littleton, NH",Bears and Pears Artist,mural,Lefko,other,other,44.3056054934821,-71.7577780126874,"<b>Littleton Inn</b><br>Littleton, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSNJsVso5EAJAgVUCdk3AebWWpZk_O-uXptYO4QTOjQn4r-e3e02E_1ddSNXbLmvyccy1rJG_ekKDr2/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSNJsVso5EAJAgVUCdk3AebWWpZk_O-uXptYO4QTOjQn4r-e3e02E_1ddSNXbLmvyccy1rJG_ekKDr2/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.3056054934821, -71.7577780126874)"
Damon Tavern,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5757851897998,-71.0713060856634,"<b>Damon Tavern</b><br>North Reading, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSo5iPATL9V1ccW5WiLLUgzg36B4Lww1dVRlxBCjeZf7l6AIwDs3mKd1EO0KRiGUoaVRQEPDJPKvsfV/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSo5iPATL9V1ccW5WiLLUgzg36B4Lww1dVRlxBCjeZf7l6AIwDs3mKd1EO0KRiGUoaVRQEPDJPKvsfV/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.5757851897998, -71.0713060856634)"
Captain Dudley Haines House,1835,"Readfield, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.3882159671826,-69.9693828572346,"<b>Captain Dudley Haines House</b><br>Readfield, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSOj7KMEzu3x88kkAt86iv17myL1qX7SOhu6NcG98CwLWTutEz-fUUE7BikxxTScyQlgpr3TK0e0tLj/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSOj7KMEzu3x88kkAt86iv17myL1qX7SOhu6NcG98CwLWTutEz-fUUE7BikxxTScyQlgpr3TK0e0tLj/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.3882159671826, -69.9693828572346)"
Lieutenant John Lovejoy House,1835,"Fayette, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.4057304242664,-70.0373535480065,"<b>Lieutenant John Lovejoy House</b><br>Fayette, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSOnPJM4b6VTZ5j_iBlIDxoFzPLSmJORq0ixDYGOjotO5QRwjjzgxdGK8yBSSqZQrPcL0jxux9NkNzp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSOnPJM4b6VTZ5j_iBlIDxoFzPLSmJORq0ixDYGOjotO5QRwjjzgxdGK8yBSSqZQrPcL0jxux9NkNzp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.4057304242664, -70.0373535480065)"
Noyes-Ide House,1825,"East Bath, NH",Porter School,mural,Lefko,school,school,44.1659529355514,-71.9655674116118,"<b>Noyes-Ide House</b><br>East Bath, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSPaAdgC6psxh_g2ZU9UuaYfhxWrQXjuIaQ6s7EE6o3f0FdcpAZxVJ6EcrqtEUaW2MKFkgSkPOyaZbK/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSPaAdgC6psxh_g2ZU9UuaYfhxWrQXjuIaQ6s7EE6o3f0FdcpAZxVJ6EcrqtEUaW2MKFkgSkPOyaZbK/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.1659529355514, -71.9655674116118)"
William A. Potter House,1830,"Harvard, MA",Porter School,mural,Lipman,school,school,42.5005798902299,-71.5872214451669,"<b>William A. Potter House</b><br>Harvard, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSQtXJCslXi8J2Vm38lPXoClxevLVtR3t9p4B3f5qswvytUOVFRsyIdX_vKdrNnsP-VL5yH9h0uQnzp/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSQtXJCslXi8J2Vm38lPXoClxevLVtR3t9p4B3f5qswvytUOVFRsyIdX_vKdrNnsP-VL5yH9h0uQnzp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.5005798902299, -71.5872214451669)"
Barrows Homestead,1830,"Fryeburg, ME",Rufus Porter and Jonathan D. Poor,mural,Lipman,rp_mural,rp,44.0170221368257,-70.9935346902087,"<b>Barrows Homestead</b><br>Fryeburg, ME, circa 1830<br>Attributed to Rufus Porter and Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.0170221368257, -70.9935346902087)"
Perley House,1830,"Naples, ME",Porter School,mural,Lefko,school,school,43.9877147788948,-70.6276410007789,"<b>Perley House</b><br>Naples, ME, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSUiR_rIUjjPjQhD_MYHeQ6FnDPuOE032GbiDs76bZ1SV40T1ebC6Lx5d0VyJrp9icHt1LIgIKQGBKw/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSUiR_rIUjjPjQhD_MYHeQ6FnDPuOE032GbiDs76bZ1SV40T1ebC6Lx5d0VyJrp9icHt1LIgIKQGBKw/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.9877147788948, -70.6276410007789)"
Reed Mansion,1830,"Townsend, MA",Porter School,mural,Lipman,school,school,42.664310739561,-71.7007184819246,"<b>Reed Mansion</b><br>Townsend, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSVaVJP_7xNqMgY3XnHQ5FGnbllrf48N4dqnEqOHm7MnvH2o7sqZheYZ8_r_GOAIcED9VQSSmMysuyZ/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSVaVJP_7xNqMgY3XnHQ5FGnbllrf48N4dqnEqOHm7MnvH2o7sqZheYZ8_r_GOAIcED9VQSSmMysuyZ/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.664310739561, -71.7007184819246)"
